ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Prkag3	1	0	0	0	0	0
Prkrir	1	0	0	0	0	0
Prosc	1	0	0	0	0	0
Prr5	1	0	0	0	0	0
Prrc1	1	0	0	0	0	0
Prss23	1	0	0	0	0	0
Psmb1	1	0	0	0	0	0
Ptcd2	1	0	0	0	0	0
Ptgfrn	1	0	0	0	0	0
Ptgis	1	0	0	0	0	0
Ptpn21	1	0	0	0	0	0
Ptpn3	1	0	0	0	0	0
Pts	1	0	0	0	0	0
Pus7l	1	0	0	0	0	0
Pvrl1	1	0	0	0	0	0
Rab23	1	0	0	0	0	0
Rab33b	1	0	0	0	0	0
Rab7b	1	0	0	0	0	0
Rad23b	1	0	0	0	0	0
Ralgps2	1	0	0	0	0	0
Raph1	1	0	0	0	0	0
Rasal2	1	0	0	0	0	0
Rassf3	1	0	0	0	0	0
Rbm20	1	0	0	0	0	0
Rbm24	1	0	0	0	0	0
Rbm38	1	0	0	0	0	0
Rbms1	1	0	0	0	0	0
Rcor1	1	0	0	0	0	0
Rdh10	1	0	0	0	0	0
Reep3	1	0	0	0	0	0
Rgma	1	0	0	0	0	0
Rgmb	1	0	0	0	0	0
Rgs20	1	0	0	0	0	0
Rhebl1	1	0	0	0	0	0
Rhob	1	0	0	0	0	0
Rhobtb2	1	0	0	0	0	0
Rhoj	1	0	0	0	0	0
Rin2	1	0	0	0	0	0
Rin3	1	0	0	0	0	0
Rmdn2	1	0	0	0	0	0
Rnase4	1	0	0	0	0	0
Rnaseh2b	1	0	0	0	0	0
Rnf111	1	0	0	0	0	0
Ror1	1	0	0	0	0	0
Rpl14	1	0	0	0	0	0
Rpp40	1	0	0	0	0	0
Rps12	1	0	0	0	0	0
Rps6ka3	1	0	0	0	0	0
Rpusd4	1	0	0	0	0	0
Rreb1	1	0	0	0	0	0
Rtn4	1	0	0	0	0	0
Rtn4r	1	0	0	0	0	0
Rttn	1	0	0	0	0	0
Runx1	1	0	0	0	0	0
